"0","3"
"0.7071068","0.7071068","0"
"0.6758477","0.6758477","0.2940403"
"0.5785192","0.5785192","0.5750053"
"0.4245612","0.4245612","0.7996847"
"0.2290442","0.2290442","0.9460854"
"0.01110675","0.01110675","0.9998766"
"3.17459e-11","3.17459e-11","1.00000e+00"
"0.7000524","0.7000524","0.1409012"
"0.6350014","0.6350014","0.4399392"
"0.507792","0.507792","0.6959128"
"0.3308763","0.3308763","0.8837656"
"0.1215722","0.1215722","0.9851093"
"0.09963222","0.09963222","0.9900237"
"0.6900774","0.6900774","0.2181432"
"0.6086365","0.6086365","0.5090414"
"0.4676181","0.4676181","0.7501111"
"0.280826","0.280826","0.9177546"
"0.06654463","0.06654463","0.995562"
"0.7057115","0.7057115","0.06279052"
